Date,Daily Sunspot Number,Standard Deviation,Number of Observations,Indicator
30/4/2016,89,7.4,24,0
29/4/2016,81,4.8,24,0
28/4/2016,90,5.6,32,0
27/4/2016,77,5.6,30,0
26/4/2016,57,4.9,33,0
25/4/2016,45,3.7,22,0
24/4/2016,38,2.9,18,0
23/4/2016,13,1,8,0
22/4/2016,22,1.1,15,0
21/4/2016,26,2.3,49,0
20/4/2016,25,2.5,49,0
19/4/2016,28,1.8,40,0
18/4/2016,31,1.9,33,0
17/4/2016,36,3.2,27,0
16/4/2016,42,3.4,17,0
15/4/2016,33,1.2,10,0
14/4/2016,45,3.6,19,0
13/4/2016,48,4.7,30,0
12/4/2016,37,3.1,44,0
11/4/2016,42,4.2,44,0
10/4/2016,34,2.3,8,0
9/4/2016,25,1.7,14,0
8/4/2016,27,2.2,26,0
7/4/2016,18,1.3,24,0
6/4/2016,20,1.6,42,0
5/4/2016,34,2.4,13,0
4/4/2016,40,2.3,20,0
3/4/2016,12,0.7,12,0
2/4/2016,12,0.8,17,0
1/4/2016,12,0.7,27,0
31/3/2016,16,1.1,20,0
30/3/2016,17,1,25,0
29/3/2016,21,1.8,29,0
28/3/2016,31,2.5,27,0
27/3/2016,33,2.3,27,0
26/3/2016,32,3.1,34,0
25/3/2016,34,3.1,28,0
24/3/2016,35,2.2,20,0
23/3/2016,22,1.4,19,0
22/3/2016,21,1.4,19,0
21/3/2016,34,1.8,17,0
20/3/2016,36,3.2,31,0
19/3/2016,38,3.2,17,0
18/3/2016,47,3.6,16,0
17/3/2016,73,6,44,0
16/3/2016,87,6.9,15,0
15/3/2016,61,6,29,0
14/3/2016,72,5.6,33,0
13/3/2016,58,5,38,0
12/3/2016,71,5.1,26,0
11/3/2016,56,4,11,0
10/3/2016,79,5.6,27,0
9/3/2016,90,5.1,14,0
8/3/2016,63,5.7,26,0
7/3/2016,80,4.8,18,0
6/3/2016,74,4.3,19,0
5/3/2016,83,6.9,19,0
4/3/2016,111,9.5,25,0
3/3/2016,78,7.1,39,0
2/3/2016,79,7.2,32,0
1/3/2016,69,6,20,0
29/2/2016,46,3.4,24,0
28/2/2016,37,2.1,21,0
27/2/2016,28,1.8,11,0
26/2/2016,48,3.4,13,0
25/2/2016,25,1.7,16,0
